zn,fe,cu,mn,b,s,district_name,zn_adequate,fe_adequate,cu_adequate,mn_adequate,b_adequate,s_adequate,soil_quality_index
67.67,65.14,91.88,77.7,73.54,85.9,Anantapur,1,1,1,1,1,1,1.0
80.51,78.19,99.77,91.82,89.04,88.62,Chittoor,1,1,1,1,1,1,1.0
79.27,88.14,95.54,97.24,88.05,95.67,East Godavari,1,1,1,1,1,1,1.0
58.3,71.16,98.86,91.4,86.15,86.81,Guntur,1,1,1,1,1,1,1.0
78.62,82.02,98.05,95.23,65.78,98.56,Krishna,1,1,1,1,1,1,1.0
60.7,48.45,97.47,91.34,92.75,96.05,Kurnool,1,0,1,1,1,1,0.8333333333333334
40.66,59.14,94.65,82.17,73.99,69.54,Prakasam,0,1,1,1,1,1,0.8333333333333334
39.58,55.37,80.72,79.83,77.23,87.61,Nellore,0,1,1,1,1,1,0.8333333333333334
81.05,75.77,98.85,91.31,96.76,94.45,Srikakulam,1,1,1,1,1,1,1.0
58.7,64.93,96.44,78.35,85.4,88.29,Visakhapatanam,1,1,1,1,1,1,1.0
61.6,93.71,95.22,98.34,79.43,87.59,Vizianagaram,1,1,1,1,1,1,1.0
67.36,87.69,96.54,96.76,87.74,88.24,West Godavari,1,1,1,1,1,1,1.0
68.61,67.42,92.82,92.72,71.8,86.46,Y.S.R.,1,1,1,1,1,1,1.0
71.52,98.79,93.03,99.7,100.0,0.3,Nicobars,1,1,1,1,1,0,0.8333333333333334
93.36,100.0,83.19,100.0,90.78,0.23,North And Middle Andaman,1,1,1,1,1,0,0.8333333333333334
80.0,99.59,81.28,98.68,99.34,0.5,South Andamans,1,1,1,1,1,0,0.8333333333333334
65.1,99.89,81.62,91.86,,71.25,Anjaw,1,1,1,1,0,1,0.8333333333333334
0.0,100.0,66.67,100.0,,100.0,Changlang,0,1,1,1,0,1,0.6666666666666666
57.72,99.45,92.05,94.33,0.0,90.59,Dibang Valley,1,1,1,1,0,1,0.8333333333333334
67.76,99.8,71.78,45.95,,7.96,East Kameng,1,1,1,0,0,0,0.5
35.68,100.0,80.54,51.63,,99.46,East Siang,0,1,1,1,0,1,0.6666666666666666
44.44,88.89,25.0,100.0,33.33,66.67,Kra Daadi,0,1,0,1,0,1,0.5
76.94,100.0,82.11,93.97,0.0,21.77,Kurung Kumey,1,1,1,1,0,0,0.6666666666666666
67.3,98.07,86.61,87.35,100.0,39.16,Lohit,1,1,1,1,1,0,0.8333333333333334
48.09,99.49,91.15,75.37,,69.45,Lower Dibang Valley,0,1,1,1,0,1,0.6666666666666666
50.0,100.0,50.0,100.0,0.0,0.0,Lower Subansiri,1,1,1,1,0,0,0.6666666666666666
100.0,100.0,100.0,90.91,,100.0,Namsai,1,1,1,1,0,1,0.8333333333333334
63.77,91.62,84.68,50.74,0.0,15.61,Papum Pare,1,1,1,1,0,0,0.6666666666666666
100.0,100.0,100.0,100.0,0.0,100.0,Tawang,1,1,1,1,0,1,0.8333333333333334
84.0,100.0,90.67,65.88,,100.0,Tirap,1,1,1,1,0,1,0.8333333333333334
45.23,99.84,91.82,66.12,100.0,96.44,Upper Siang,0,1,1,1,1,1,0.8333333333333334
41.8,100.0,60.58,53.48,,0.26,Upper Subansiri,0,1,1,1,0,0,0.5
93.44,100.0,80.33,91.26,,1.64,West Kameng,1,1,1,1,0,0,0.6666666666666666
43.52,97.98,89.57,76.11,,69.94,West Siang,0,1,1,1,0,1,0.6666666666666666
65.1,98.14,99.63,90.41,2.99,88.56,Baksa,1,1,1,1,0,1,0.8333333333333334
89.47,97.73,99.66,95.84,29.56,85.47,Barpeta,1,1,1,1,0,1,0.8333333333333334
93.58,99.98,99.55,99.47,0.92,98.41,Biswanath,1,1,1,1,0,1,0.8333333333333334
99.79,99.53,99.96,87.64,0.92,99.63,Bongaigaon,1,1,1,1,0,1,0.8333333333333334
89.85,99.55,99.98,99.59,0.06,99.59,Cachar,1,1,1,1,0,1,0.8333333333333334
99.9,99.95,98.94,90.71,3.42,98.22,Charaideo,1,1,1,1,0,1,0.8333333333333334
99.96,99.91,100.0,93.21,1.65,99.78,Chirang,1,1,1,1,0,1,0.8333333333333334
85.73,99.41,99.24,98.64,7.77,96.98,Darrang,1,1,1,1,0,1,0.8333333333333334
99.7,99.49,99.94,87.86,3.99,98.04,Dhemaji,1,1,1,1,0,1,0.8333333333333334
98.36,99.98,99.98,99.17,0.06,99.86,Dhubri,1,1,1,1,0,1,0.8333333333333334
97.05,98.14,99.88,90.46,4.51,99.04,Dibrugarh,1,1,1,1,0,1,0.8333333333333334
100.0,100.0,100.0,100.0,0.0,100.0,Dima Hasao,1,1,1,1,0,1,0.8333333333333334
71.28,99.6,99.97,99.68,1.41,96.49,Goalpara,1,1,1,1,0,1,0.8333333333333334
97.42,99.91,99.98,99.77,0.48,99.52,Golaghat,1,1,1,1,0,1,0.8333333333333334
97.0,99.99,100.0,99.91,0.0,99.99,Hailakandi,1,1,1,1,0,1,0.8333333333333334
98.32,84.0,56.33,97.57,61.09,97.49,Hojai,1,1,1,1,1,1,1.0
97.6,99.96,99.99,99.38,1.97,99.22,Jorhat,1,1,1,1,0,1,0.8333333333333334
64.95,99.04,99.56,83.13,0.32,99.74,Kamrup,1,1,1,1,0,1,0.8333333333333334
99.88,99.97,100.0,99.94,0.15,99.94,Kamrup Metro,1,1,1,1,0,1,0.8333333333333334
96.0,99.57,99.86,99.62,3.86,93.62,Karbi Anglong,1,1,1,1,0,1,0.8333333333333334
98.64,99.78,99.95,99.24,0.08,99.88,Karimganj,1,1,1,1,0,1,0.8333333333333334
98.82,99.79,99.97,92.38,0.89,98.5,Kokrajhar,1,1,1,1,0,1,0.8333333333333334
94.14,97.49,97.61,89.17,7.87,88.81,Lakhimpur,1,1,1,1,0,1,0.8333333333333334
52.57,99.89,100.0,93.19,0.17,98.34,Majuli,1,1,1,1,0,1,0.8333333333333334
88.15,99.68,99.1,96.26,0.39,96.56,Marigaon,1,1,1,1,0,1,0.8333333333333334
99.68,99.69,98.98,88.74,4.43,99.8,Nagaon,1,1,1,1,0,1,0.8333333333333334
90.4,99.98,100.0,99.91,0.23,99.88,Nalbari,1,1,1,1,0,1,0.8333333333333334
98.84,99.52,99.94,90.47,1.91,98.39,Sivasagar,1,1,1,1,0,1,0.8333333333333334
99.85,99.9,99.97,95.47,0.08,99.92,Sonitpur,1,1,1,1,0,1,0.8333333333333334
98.55,99.96,100.0,99.71,0.04,99.96,South Salmara Mancachar,1,1,1,1,0,1,0.8333333333333334
99.93,99.9,99.97,89.28,0.77,99.9,Tinsukia,1,1,1,1,0,1,0.8333333333333334
85.04,99.95,99.88,99.12,2.42,98.74,Udalguri,1,1,1,1,0,1,0.8333333333333334
87.7,89.78,90.04,89.83,0.02,35.91,Araria,1,1,1,1,0,0,0.6666666666666666
69.61,77.58,78.21,77.69,0.12,3.92,Arwal,1,1,1,1,0,0,0.6666666666666666
98.48,98.59,99.0,98.54,0.43,0.37,Aurangabad,1,1,1,1,0,0,0.6666666666666666
0.09,0.12,0.12,0.09,0.15,0.03,Banka,0,0,0,0,0,0,0.0
86.9,86.13,87.39,87.07,0.03,23.12,Begusarai,1,1,1,1,0,0,0.6666666666666666
0.15,0.0,0.17,0.16,0.16,0.16,Bhagalpur,0,0,0,0,0,0,0.0
95.72,93.84,99.26,97.19,1.79,2.25,Bhojpur,1,1,1,1,0,0,0.6666666666666666
0.0,0.04,0.07,0.07,0.07,0.07,Buxar,0,0,0,0,0,0,0.0
96.83,97.1,98.13,95.52,2.8,19.4,Darbhanga,1,1,1,1,0,0,0.6666666666666666
99.71,99.51,99.75,99.65,2.28,2.86,Gaya,1,1,1,1,0,0,0.6666666666666666
58.95,94.74,100.0,96.84,64.21,84.21,Gopalganj,1,1,1,1,1,1,1.0
95.22,88.07,99.28,98.27,0.85,0.21,Jamui,1,1,1,1,0,0,0.6666666666666666
