column,dtype,non_null_count,null_count,null_percentage
avg_temp,float64,91152,259789,74.02640329856015
heatwave_count,float64,91152,259789,74.02640329856015
growing_degree_days,float64,91152,259789,74.02640329856015
rainfall_anomaly,float64,91152,259789,74.02640329856015
monsoon_rainfall,float64,91152,259789,74.02640329856015
seasonal_rainfall,float64,91152,259789,74.02640329856015
b,float64,291918,59023,16.818496556401218
cu,float64,312808,38133,10.865929030805747
mn,float64,312808,38133,10.865929030805747
fe,float64,314675,36266,10.333930774688623
zn,float64,316250,34691,9.885137387766035
s,float64,319006,31935,9.09982019769705
zn_adequate,float64,321636,29305,8.35040647858187
fe_adequate,float64,321636,29305,8.35040647858187
soil_quality_index,float64,321636,29305,8.35040647858187
s_adequate,float64,321636,29305,8.35040647858187
b_adequate,float64,321636,29305,8.35040647858187
mn_adequate,float64,321636,29305,8.35040647858187
cu_adequate,float64,321636,29305,8.35040647858187
state_name,str,350941,0,0.0
state_code,int64,350941,0,0.0
district_name,str,350941,0,0.0
district_code,int64,350941,0,0.0
season,str,350941,0,0.0
area,float64,350941,0,0.0
area_unit,str,350941,0,0.0
crop_code,int64,350941,0,0.0
crop_name,str,350941,0,0.0
crop_type,str,350941,0,0.0
year,int64,350941,0,0.0
yield_per_hectare,float64,350941,0,0.0
yield_unit,str,350941,0,0.0
yield,float64,350941,0,0.0
production_unit,str,350941,0,0.0
production,float64,350941,0,0.0
id,int64,350941,0,0.0
