,id,year,state_code,district_code,crop_code,area,production,yield,yield_per_hectare,zn,fe,cu,mn,b,s,zn_adequate,fe_adequate,cu_adequate,mn_adequate,b_adequate,s_adequate,soil_quality_index,seasonal_rainfall,monsoon_rainfall,rainfall_anomaly,growing_degree_days,heatwave_count,avg_temp
count,350941.0,350941.0,350941.0,350941.0,350941.0,350941.0,350941.0,350941.0,350941.0,316250.0,314675.0,312808.0,312808.0,291918.0,319006.0,321636.0,321636.0,321636.0,321636.0,321636.0,321636.0,321636.0,91152.0,91152.0,91152.0,91152.0,91152.0,91152.0
mean,172511.2180879407,2008.8947030982415,18.421985461943745,343.7389276260112,478.96586035829387,11667.022605395208,938339.5909509007,78.20468614382474,78.20468614382474,64.27381176284585,71.42584136013346,91.58590147950181,83.49525798572928,53.25767869744244,66.52571685172065,0.7215423646606723,0.7771611386785061,0.936499645562064,0.898870151351217,0.5331337288114515,0.7224813142807397,0.7649480572241084,394.57493259257257,294.62451942053053,-0.010470385372010144,15.725699512682427,23376.215080305425,25.740868254496217
std,99639.34319993667,6.562368727671103,9.153587346318934,186.48052962047225,376.9101328532925,45710.65640158492,21231092.24540102,909.3792709962285,909.3792709962285,25.918604034956275,28.74927155965949,18.041419140577847,22.122108972983128,33.29275678838721,31.017418181124963,0.44824056637105864,0.416151705088608,0.24386111686201753,0.3015010530456643,0.4989017236694206,0.44777526526123057,0.2520380102581436,30.16113877265848,22.457214149619674,0.05401266929097524,0.19840642899429364,2919.5560035250337,0.1783169782110204
min,0.0,1997.0,1.0,1.0,101.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,357.22061697013953,265.28030004871744,-0.0773646200861908,15.442985969853485,12780.0,25.49018645907988
1%,3482.4,1997.0,1.0,15.0,101.0,1.0,1.0,0.0,0.0,0.11,0.0,0.12,0.09,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,357.22061697013953,265.28030004871744,-0.0773646200861908,15.442985969853485,18882.0,25.49018645907988
25%,86274.0,2003.0,9.0,178.0,108.0,73.0,84.0,0.54,0.54,47.33,54.98,92.83,79.85,23.69,44.98,0.0,1.0,1.0,1.0,0.0,0.0,0.6666666666666666,378.34542226452425,277.71980855329053,-0.0395342473405772,15.55466340787356,21213.0,25.583439073309215
50%,172417.0,2009.0,19.0,352.0,288.0,528.0,700.0,1.0,1.0,67.67,81.11,97.17,91.4,59.69,76.54,1.0,1.0,1.0,1.0,1.0,1.0,0.8333333333333334,383.7648601739498,295.20259991878265,-0.0298290996088832,15.870873747457258,24354.0,25.86802104116683
75%,258755.0,2015.0,27.0,505.0,1001.0,4106.0,7000.0,2.45,2.45,85.82,96.49,99.24,97.67,81.82,91.55,1.0,1.0,1.0,1.0,1.0,1.0,1.0,403.8784110250505,298.6050107672649,0.0061903152605759,15.883423251705269,25131.0,25.883292069415916
99%,341832.6,2019.0,36.0,746.0,1302.0,188200.0,1918599.9999999767,103.57,103.57,100.0,100.0,100.0,100.0,100.0,100.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,444.04937455488096,330.72646615374055,0.0781286125706053,15.919121080428186,26922.0,25.917867107508947
max,345272.0,2020.0,38.0,784.0,1401.0,8580100.0,1597800000.0,43958.33,43958.33,100.0,100.0,100.0,100.0,100.0,100.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,450.8829916769218,335.20549729017085,0.0903662772176887,15.919121080428186,26922.0,25.917867107508947
missing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34691.0,36266.0,38133.0,38133.0,59023.0,31935.0,29305.0,29305.0,29305.0,29305.0,29305.0,29305.0,29305.0,259789.0,259789.0,259789.0,259789.0,259789.0,259789.0
missing_pct,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.885137387766035,10.333930774688623,10.865929030805747,10.865929030805747,16.818496556401218,9.09982019769705,8.35040647858187,8.35040647858187,8.35040647858187,8.35040647858187,8.35040647858187,8.35040647858187,8.35040647858187,74.02640329856015,74.02640329856015,74.02640329856015,74.02640329856015,74.02640329856015,74.02640329856015
